830	2015-05-07 18:49:03	wymiana
828	2015-05-07 19:33:50	wymiana
845	2015-05-07 21:42:43	wymiana
857	2015-05-07 21:44:53	wymiana
820	2015-05-07 22:20:36	restart
812	2015-05-07 23:00:26	restart
836	2015-05-07 23:59:44	wymiana
851	2015-05-08 01:45:16	wymiana
817	2015-05-08 03:11:25	restart
857	2015-05-08 03:28:34	wymiana
856	2015-05-08 03:48:59	restart
820	2015-05-08 05:48:07	restart
863	2015-05-08 06:05:03	restart
863	2015-05-08 06:47:42	restart
863	2015-05-08 07:08:00	wymiana
862	2015-05-08 09:08:34	restart
833	2015-05-08 13:58:04	restart
856	2015-05-08 15:23:33	wymiana
856	2015-05-08 18:03:35	restart
860	2015-05-08 22:51:46	restart
862	2015-05-08 23:20:42	restart
837	2015-05-09 00:12:49	wymiana
851	2015-05-09 01:16:51	restart
846	2015-05-09 01:26:51	restart
827	2015-05-09 03:22:46	restart
861	2015-05-09 05:28:20	restart
823	2015-05-09 07:01:51	wymiana
830	2015-05-09 07:32:17	restart
830	2015-05-09 08:33:33	wymiana
843	2015-05-09 11:39:34	wymiana
845	2015-05-09 14:54:23	restart
834	2015-05-09 15:33:07	wymiana
826	2015-05-09 15:48:59	wymiana
848	2015-05-09 20:52:35	wymiana
832	2015-05-09 22:33:40	wymiana
856	2015-05-09 22:39:45	restart
849	2015-05-09 23:04:47	restart
851	2015-05-09 23:41:31	wymiana
852	2015-05-09 23:51:53	wymiana
862	2015-05-10 00:38:47	wymiana
841	2015-05-10 05:29:12	restart
852	2015-05-10 12:36:19	restart
878	2015-05-10 12:54:23	restart
864	2015-05-10 15:54:21	restart
830	2015-05-10 17:13:56	restart
854	2015-05-10 19:26:36	restart
841	2015-05-10 21:11:03	restart
870	2015-05-11 01:21:50	restart
831	2015-05-11 04:08:51	restart
839	2015-05-11 07:26:07	wymiana
884	2015-05-11 09:13:40	restart
886	2015-05-11 11:08:47	restart
886	2015-05-11 11:51:44	wymiana
869	2015-05-11 12:10:34	wymiana
864	2015-05-11 13:38:10	wymiana
859	2015-05-11 13:48:23	wymiana
872	2015-05-11 15:59:12	wymiana
890	2015-05-11 18:34:23	restart
860	2015-05-11 19:24:26	wymiana
884	2015-05-11 20:51:45	wymiana
886	2015-05-11 22:12:57	wymiana
862	2015-05-11 23:16:24	restart
873	2015-05-12 01:30:13	restart
893	2015-05-12 02:00:27	wymiana
865	2015-05-12 03:00:02	restart
890	2015-05-12 05:18:35	restart
884	2015-05-12 05:19:53	restart
887	2015-05-12 05:40:31	restart
886	2015-05-12 06:23:43	restart
859	2015-05-12 06:43:07	wymiana
890	2015-05-12 07:36:32	restart
890	2015-05-12 08:33:55	restart
881	2015-05-12 09:16:45	restart
856	2015-05-12 13:18:13	wymiana
848	2015-05-12 13:42:06	wymiana
892	2015-05-12 14:27:45	wymiana
885	2015-05-12 14:48:59	wymiana
860	2015-05-12 15:03:37	wymiana
850	2015-05-12 15:17:03	wymiana
867	2015-05-12 16:11:32	wymiana
895	2015-05-12 16:14:33	wymiana
890	2015-05-12 18:55:43	restart
851	2015-05-13 00:25:17	restart
860	2015-05-13 02:00:03	restart
855	2015-05-13 02:03:42	restart
899	2015-05-13 02:51:57	wymiana
896	2015-05-13 03:23:04	restart
866	2015-05-13 05:10:17	restart
893	2015-05-13 06:01:07	restart
875	2015-05-13 07:04:31	restart
899	2015-05-13 08:18:57	restart
902	2015-05-13 10:05:18	wymiana
877	2015-05-13 10:09:45	restart
875	2015-05-13 13:11:39	restart
882	2015-05-13 15:13:07	wymiana
898	2015-05-13 17:42:33	wymiana
871	2015-05-13 18:20:51	wymiana
871	2015-05-13 19:35:04	restart
858	2015-05-13 20:36:55	restart
903	2015-05-13 21:28:54	wymiana
901	2015-05-13 23:34:31	wymiana
892	2015-05-14 00:44:35	wymiana
894	2015-05-14 01:52:12	restart
885	2015-05-14 02:17:19	wymiana
889	2015-05-14 03:22:20	restart
898	2015-05-14 09:16:49	wymiana
884	2015-05-14 09:33:26	restart
888	2015-05-14 10:20:12	restart
905	2015-05-14 12:05:02	wymiana
906	2015-05-14 13:05:07	wymiana
895	2015-05-14 13:10:35	restart
888	2015-05-14 13:22:34	wymiana
868	2015-05-14 14:35:39	restart
876	2015-05-14 14:49:46	restart
875	2015-05-14 17:06:07	wymiana
912	2015-05-14 17:33:59	restart
905	2015-05-14 18:37:26	restart
909	2015-05-14 20:40:52	restart
884	2015-05-14 20:42:57	wymiana
899	2015-05-14 21:25:59	wymiana
875	2015-05-14 21:26:16	restart
894	2015-05-15 00:30:39	wymiana
904	2015-05-15 02:27:05	wymiana
900	2015-05-15 02:51:30	wymiana
909	2015-05-15 04:12:48	restart
910	2015-05-15 12:23:34	restart
917	2015-05-15 13:24:44	wymiana
908	2015-05-15 14:07:50	wymiana
874	2015-05-15 15:30:49	restart
903	2015-05-15 15:31:35	wymiana
907	2015-05-15 15:33:17	restart
895	2015-05-15 18:02:15	restart
916	2015-05-15 19:28:18	wymiana
879	2015-05-15 20:05:46	wymiana
901	2015-05-15 20:34:36	wymiana
922	2015-05-15 21:00:15	restart
913	2015-05-15 21:32:41	restart
886	2015-05-15 21:41:05	restart
904	2015-05-16 00:03:15	restart
905	2015-05-16 03:19:57	restart
896	2015-05-16 06:39:20	wymiana
882	2015-05-16 07:45:01	wymiana
875	2015-05-16 07:51:25	restart
916	2015-05-16 10:21:29	restart
888	2015-05-16 13:38:42	wymiana
922	2015-05-16 15:28:11	wymiana
922	2015-05-16 15:31:02	restart
904	2015-05-16 16:45:34	wymiana
896	2015-05-16 18:19:30	restart
907	2015-05-16 19:27:58	restart
876	2015-05-16 19:39:03	wymiana
882	2015-05-16 21:09:57	wymiana
892	2015-05-16 23:20:14	wymiana
909	2015-05-17 00:22:00	restart
909	2015-05-17 01:07:40	wymiana
927	2015-05-17 02:12:47	restart
922	2015-05-17 02:18:57	wymiana
893	2015-05-17 02:34:26	wymiana
928	2015-05-17 04:18:50	wymiana
888	2015-05-17 04:25:14	wymiana
894	2015-05-17 06:59:21	wymiana
880	2015-05-17 07:11:58	wymiana
894	2015-05-17 08:29:20	restart
883	2015-05-17 10:23:59	wymiana
915	2015-05-17 10:28:21	restart
892	2015-05-17 11:51:54	wymiana
919	2015-05-17 12:25:18	restart
